,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
44,2022,2,Santa Fe,468000,11757,138534,204381,74133,58114,373888,17584,878859
45,2022,2,Santiago Del Estero,178000,1401,29581,59931,14606,883000,10672,792000,118044
46,2022,2,Tierra Del Fuego,22000,831000,12052,14828,19968,1712,1006,3351,53770
47,2022,2,Tucumán,39000,2195,34461,43513,23634,4863,145541,281000,254527
48,2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,26280,4555424
49,2022,1,Capital Federal,527000,5575,39918,77390,61053,43289,1188072,1717,1417541
50,2022,1,Catamarca,71000,456000,4386,7009,8773,3761,35715,2207,62378
51,2022,1,Chaco,461000,1099,16888,21235,20898,13012,62946,7580,144119
52,2022,1,Chubut,113000,1677,61369,31856,33080,13871,14055,15607,171628
53,2022,1,Córdoba,100000,12782,165922,126009,73967,34892,577027,13104,1003803
54,2022,1,Corrientes,67000,4029,24563,25665,27077,10452,43631,7094,142578
55,2022,1,Entre Ríos,107000,5745,50075,49620,42294,21578,81757,16750,267926
56,2022,1,Formosa,97000,448000,24113,6945,6613,716000,15028,588000,54548
57,2022,1,Jujuy,58000,1761,22141,16321,37923,576000,35287,2442,116509
58,2022,1,La Pampa,301000,2223,62812,9869,12044,5250,14400,2833,109732
59,2022,1,La Rioja,18000,778000,3576,4692,23624,5645,45970,0,84303
60,2022,1,Mendoza,114000,3355,51230,26407,74178,21566,95048,3287,275185
61,2022,1,Misiones,51000,3873,35655,22261,26855,15854,58610,8349,171508
62,2022,1,Neuquén,137000,1123,39856,15623,11163,2654,71238,7885,149679
63,2022,1,Río Negro,116000,1383,35565,18859,26926,14144,37729,22652,157374
64,2022,1,Salta,114000,1725,35576,68246,6313,2214,76838,6489,197515
65,2022,1,San Juan,26000,2269,32356,11914,25144,2088,11916,2465,88178
66,2022,1,San Luis,61000,643000,8287,3837,9802,68612,13,28589,119844
67,2022,1,Santa Cruz,51000,6898,12710,11502,12277,2628,2551,485000,49102
68,2022,1,Santa Fe,468000,12435,143796,208361,84787,58018,344170,18444,870479
69,2022,1,Santiago Del Estero,178000,1401,30220,61170,13542,849000,8309,792000,116461
70,2022,1,Tierra Del Fuego,24000,894000,12849,15640,18034,1767,982,2421,52611
71,2022,1,Tucumán,39000,2212,36028,46961,21014,5211,133846,273000,245584
72,2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958,4509157
73,2021,4,Capital Federal,563000,1695,47133,81899,66135,66755,1147939,0,1412119
74,2021,4,Catamarca,71000,0,6038,7855,9804,3262,29827,2233,59090
75,2021,4,Chaco,461000,112000,18845,22678,21937,13692,58435,7585,143745
76,2021,4,Chubut,126000,1294,63698,39568,31175,5780,2904,15763,160308
77,2021,4,Córdoba,100000,2479,184548,130892,76246,41198,538700,12607,986770
78,2021,4,Corrientes,67000,645000,28830,26368,22922,10087,39911,7082,135912
79,2021,4,Entre Ríos,107000,3024,56043,49636,38295,24068,77290,16583,265046
80,2021,4,Formosa,84000,0,22908,6983,6811,1135,13775,1967,53663
81,2021,4,Jujuy,58000,175000,22446,16793,38134,564000,33421,2324,113915
82,2021,4,La Pampa,301000,493000,64840,9082,12259,4821,12184,3027,107007
83,2021,4,La Rioja,18000,1000,5018,5437,23559,5671,43424,0,83128
84,2021,4,Mendoza,156000,1463,66428,30308,75214,18621,75031,366000,267587
85,2021,4,Misiones,51000,5000,41916,23554,26721,15954,54596,8335,171132
86,2021,4,Neuquén,140000,940000,42313,13264,10515,3310,69217,7767,147466
87,2021,4,Río Negro,156000,1174,38373,19878,31255,4130,36142,22645,153753
88,2021,4,Salta,114000,20000,40673,69324,6642,3535,72622,6475,199405
89,2021,4,San Juan,44000,1442,28906,10955,23978,398000,9800,4435,79958
90,2021,4,San Luis,62000,264000,8550,4276,9107,67363,9,29218,118849
91,2021,4,Santa Cruz,52000,297000,20305,11641,13054,1770,876,491000,48486
92,2021,4,Santa Fe,467000,581000,169706,206856,85690,62349,322015,18777,866441
93,2021,4,Santiago Del Estero,178000,909000,31915,61524,12205,800000,7537,793000,115861
94,2021,4,Tierra Del Fuego,26000,385000,13505,16534,16562,1748,1017,2580,52357
95,2021,4,Tucumán,39000,97000,37321,48736,21023,5326,125857,240000,238639
96,2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609
97,2021,3,Capital Federal,295000,603000,156978,67013,39785,73502,1075229,0,1413405
98,2021,3,Catamarca,71000,0,6755,8428,10517,1659,26618,2206,56254
99,2021,3,Chaco,301000,112000,22545,20986,23852,14412,49705,7958,139871
100,2021,3,Chubut,104000,105000,89168,26281,18538,5320,1643,14907,156066
101,2021,3,Córdoba,99000,2452,204989,141285,65050,47198,476459,9256,946788
102,2021,3,Corrientes,67000,645000,29629,28478,24792,9687,35468,5053,133819
103,2021,3,Entre Ríos,107000,3024,61354,59776,39114,16283,67961,12755,260375
104,2021,3,Formosa,381000,0,22778,7142,6978,1192,12707,1617,52795
105,2021,3,Jujuy,48000,175000,23884,16417,37755,561000,29917,2401,111158
106,2021,3,La Pampa,298000,313000,65063,7395,8737,4022,10506,4152,100487
107,2021,3,La Rioja,18000,1000,5366,5979,23315,4868,42613,0,82160
108,2021,3,Mendoza,36000,31000,151871,12640,62628,7596,21087,50000,255939
109,2021,3,Misiones,51000,5000,41932,25099,26079,14792,42291,8279,158528
110,2021,3,Neuquén,112000,327000,57441,8566,6234,3631,57919,5579,139809
111,2021,3,Río Negro,125000,557000,68991,3730,14880,2282,34011,20009,144585
112,2021,3,Salta,101000,20000,41431,70104,6962,3878,67010,6327,195833
113,2021,3,San Juan,18000,333000,59873,752000,13250,338000,278,4641,79483
114,2021,3,San Luis,60000,0,11552,2405,6491,67942,22,29392,117864
115,2021,3,Santa Cruz,50000,0,30561,8365,6799,1788,678,735000,48976
116,2021,3,Santa Fe,467000,579000,193207,201250,83941,55080,290793,16267,841584
117,2021,3,Santiago Del Estero,123000,909000,32752,61838,11274,801000,6863,898000,115458
118,2021,3,Tierra Del Fuego,17000,0,23723,13397,9782,1433,976,895000,50223
119,2021,3,Tucumán,32000,97000,39446,50293,21986,5300,115154,164000,232472
120,2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351
121,2021,2,Capital Federal,294000,603000,157558,73568,43859,86655,1037752,66000,1400355
122,2021,2,Catamarca,71000,0,7219,9091,6828,4941,25388,2206,55744
123,2021,2,Chaco,301000,112000,23444,21574,24032,16068,47239,7958,140729
124,2021,2,Chubut,104000,105000,89639,22605,16604,3896,1112,5172,139237
125,2021,2,Córdoba,99000,2452,201757,136516,66950,70824,442357,9925,930880
126,2021,2,Corrientes,67000,645000,29419,27037,24524,10059,32697,5053,129501
127,2021,2,Entre Ríos,107000,3024,63518,55349,39468,18484,61605,16077,257632
128,2021,2,Formosa,381000,0,22364,7310,7460,1341,11077,1618,51551
129,2021,2,Jujuy,48000,175000,24182,16577,37908,607000,29950,2401,111848
130,2021,2,La Pampa,298000,554000,64146,7769,8128,3399,9311,4062,97667
131,2021,2,La Rioja,18000,1000,5312,5971,23298,4825,42158,19000,81602
132,2021,2,Mendoza,36000,31000,137462,10886,56117,4403,20686,50000,229671
133,2021,2,Misiones,51000,5000,41643,25907,25811,16172,38308,8279,156176
134,2021,2,Neuquén,112000,327000,57713,8631,5871,5943,54008,5645,138250
